006385cc  00000716 R_ARM_JUMP_SLOT   0048f86c   ezxml_set_attr
00639130  00043416 R_ARM_JUMP_SLOT   000b2f2c   Seedkey_acu
00639134  00043516 R_ARM_JUMP_SLOT   002f1ce0   Subaru_ReciveMessage_D
00639138  00043616 R_ARM_JUMP_SLOT   0049c20c   DoMultData
0063913c  00043716 R_ARM_JUMP_SLOT   000b444c   seed2key_CSKZ_security
00639140  00043816 R_ARM_JUMP_SLOT   00000000   __aeabi_i2f
00639144  00043916 R_ARM_JUMP_SLOT   004fa428   ASN1_get_object
00639148  00043a16 R_ARM_JUMP_SLOT   004b56b0   CAPP_Close
0063914c  00043b16 R_ARM_JUMP_SLOT   0039aff4   VCI_Connect
00639150  00043c16 R_ARM_JUMP_SLOT   003bd018   SV_SystemkeyInit
00639154  00043e16 R_ARM_JUMP_SLOT   003b14c4   AddIntegerDemoResIntoB
00639158  00043f16 R_ARM_JUMP_SLOT   00241018   xml_GetScanDB
0063915c  00044116 R_ARM_JUMP_SLOT   00444cd8   InitVCIReadSN
00639160  00044316 R_ARM_JUMP_SLOT   0012879c   Benz_Parse_Act
00639164  00044516 R_ARM_JUMP_SLOT   00138344   SetSysMap
00639168  00044716 R_ARM_JUMP_SLOT   00084618   startClient
0063916c  00044816 R_ARM_JUMP_SLOT   004e0bd8   OBJ_new_nid
00639170  00044b16 R_ARM_JUMP_SLOT   003ed6f0   CheckNokey
00639174  00044c16 R_ARM_JUMP_SLOT   00250114   Melco_SendMsg
00639178  00044d16 R_ARM_JUMP_SLOT   004d1bf8   BN_CTX_end
0063917c  00044e16 R_ARM_JUMP_SLOT   004a9ee8   MakeKt600PassWord
00639180  00044f16 R_ARM_JUMP_SLOT   001bfbb4   Cmd_Get_InputBox
00639184  00045016 R_ARM_JUMP_SLOT   0019f298   HonDaN_Read_Data_New
00639188  00045216 R_ARM_JUMP_SLOT   0035ef00   Volvo_Send_Continue
0063918c  00045516 R_ARM_JUMP_SLOT   002536a0   Melco_Parse_Data
00639190  00045916 R_ARM_JUMP_SLOT   000b7134   GetKey_DAF_2Seed2Key_N
00639194  00045d16 R_ARM_JUMP_SLOT   00000000   ldexp
00639198  00045e16 R_ARM_JUMP_SLOT   00000000   vsnprintf
0063919c  00045f16 R_ARM_JUMP_SLOT   002ea2dc   getSeed_zhengzhou_ZD25
006391a0  00046016 R_ARM_JUMP_SLOT   00453e04   WFD_RefreshHexeditDial
006391a4  00046116 R_ARM_JUMP_SLOT   004e0d4c   OBJ_sn2nid
006391a8  00046216 R_ARM_JUMP_SLOT   0039e32c   DealNodeidentResParams
006391ac  00046316 R_ARM_JUMP_SLOT   004d2438   bn_mul_normal
006391b0  00046516 R_ARM_JUMP_SLOT   0039b0f4   CreateComModeByXml
006391b4  00046816 R_ARM_JUMP_SLOT   0043f1b4   ScanMaxMinArea
006391b8  00046a16 R_ARM_JUMP_SLOT   00084924   SinalShoot
006391bc  00046c16 R_ARM_JUMP_SLOT   0041a28c   Ecu_Flash_RcvMsg
006391c0  00046f16 R_ARM_JUMP_SLOT   0049d200   DoFilterData
006391c4  00047016 R_ARM_JUMP_SLOT   003ebea0   RefreshBargraph
006391c8  00047216 R_ARM_JUMP_SLOT   00139320   GetTheIndexDbXmlFile
006391cc  00047316 R_ARM_JUMP_SLOT   004da0d8   engine_cleanup_add_las
006391d0  00047416 R_ARM_JUMP_SLOT   002e3bfc   checkDataS19
006391d4  00047616 R_ARM_JUMP_SLOT   0045d860   luaL_checkversion_
006391d8  00047716 R_ARM_JUMP_SLOT   003cc56c   RefreshAv8Dialog
006391dc  00047a16 R_ARM_JUMP_SLOT   002facf4   Volvo_Read_Frame
006391e0  00047d16 R_ARM_JUMP_SLOT   00000000   sem_wait
006391e4  00047f16 R_ARM_JUMP_SLOT   001b0a9c   J1939_RcvDataStreamMsg
006391e8  00048016 R_ARM_JUMP_SLOT   002179cc   EPOWER_Kwp_RDTC_Comm
006391ec  00048116 R_ARM_JUMP_SLOT   004f44f0   BIO_s_file
006391f0  00048316 R_ARM_JUMP_SLOT   0020cbc8   convert_1
006391f4  00048516 R_ARM_JUMP_SLOT   000badc0   sub_2016_03_28_14_58
006391f8  00048616 R_ARM_JUMP_SLOT   0020eb10   Frame_UnPackingMsg
006391fc  00048716 R_ARM_JUMP_SLOT   004d1f30   BN_CTX_start
00639200  00048816 R_ARM_JUMP_SLOT   004cda00   RAND_get_rand_method
00639204  00048916 R_ARM_JUMP_SLOT   00160ca0   All_Parse_Ver
00639208  00048b16 R_ARM_JUMP_SLOT   0026d424   xml_GetNissanTestProto
0063920c  00048d16 R_ARM_JUMP_SLOT   00450c9c   WFD_GetItemCurSize
00639210  00048e16 R_ARM_JUMP_SLOT   003b6794   AddPinrefInfoSysref
00639214  00048f16 R_ARM_JUMP_SLOT   000858b8   KXmlBackStep
00639218  00049016 R_ARM_JUMP_SLOT   00435940   flashSdInit
0063921c  00049316 R_ARM_JUMP_SLOT   004fad98   i2c_ASN1_BIT_STRING
00639220  00049416 R_ARM_JUMP_SLOT   00436ea8   CheckEscapeRegion
00639224  00049516 R_ARM_JUMP_SLOT   0020d288   Porton_Key_Login
00639228  00049616 R_ARM_JUMP_SLOT   002bd310   seedkey_008c_jl_kr_n80
0063922c  00049716 R_ARM_JUMP_SLOT   00232b1c   KWP_Parse_Dtc2Code
00639230  00049916 R_ARM_JUMP_SLOT   001af8ac   GetSameValueNum
00639234  00049a16 R_ARM_JUMP_SLOT   0043ce34   GetExpressionValueSub_
00639238  00049d16 R_ARM_JUMP_SLOT   00456e60   WFD_ShowBargraph4Dialo
0063923c  00049f16 R_ARM_JUMP_SLOT   0038d558   DoServiceViewInCapp
00639240  0004a116 R_ARM_JUMP_SLOT   000eeae0   FiltDataForRways4X
00639244  0004a216 R_ARM_JUMP_SLOT   000b64e8   SeedToKey_SCANIA_SMS
00639248  0004a316 R_ARM_JUMP_SLOT   000b6aec   GetKey_2018_03_14_17_3
0063924c  0004a416 R_ARM_JUMP_SLOT   00249c30   xml_GetFFData
00639250  0004a516 R_ARM_JUMP_SLOT   00442d74   HM_InputSeedGetKEY
00639254  0004a716 R_ARM_JUMP_SLOT   00000000   sem_post
00639258  0004a816 R_ARM_JUMP_SLOT   00172c88   DIAP_RevMultMsg
0063925c  0004a916 R_ARM_JUMP_SLOT   004de44c   BIO_snprintf
00639260  0004aa16 R_ARM_JUMP_SLOT   002d2528   sub_100012F0
00639264  0004ae16 R_ARM_JUMP_SLOT   004f2b98   BN_from_montgomery
00639268  0004b116 R_ARM_JUMP_SLOT   002b9afc   seedkey_scaina_0x258
0063926c  0004b216 R_ARM_JUMP_SLOT   0025bb6c   NegationRespSolve
00639270  0004b316 R_ARM_JUMP_SLOT   0044b4b8   DoWorkflowByNode
00639274  0004b416 R_ARM_JUMP_SLOT   004b4a48   GetHeadInfo
00639278  0004b516 R_ARM_JUMP_SLOT   002e7e70   SeedKey_Fuso_New
0063927c  0004b616 R_ARM_JUMP_SLOT   00458c7c   lua_pushlstring
00639280  0004b716 R_ARM_JUMP_SLOT   0013f264   TransCalData
00639284  0004b916 R_ARM_JUMP_SLOT   002440b0   Kwp_ScanIdentifyECU
00639288  0004bb16 R_ARM_JUMP_SLOT   004f4e44   RAND_egd_bytes
0063928c  0004be16 R_ARM_JUMP_SLOT   002740e4   flash_verinforReturn
00639290  0004c116 R_ARM_JUMP_SLOT   003bb33c   DiagInitDB
00639294  0004c416 R_ARM_JUMP_SLOT   004b446c   GetCacheBlock
00639298  0004c716 R_ARM_JUMP_SLOT   0044c05c   SetListbox
0063929c  0004c816 R_ARM_JUMP_SLOT   001416a0   Cummins_Read_Data
006392a0  0004c916 R_ARM_JUMP_SLOT   000b8368   QingLing_NibblesConfus
006392a4  0004cb16 R_ARM_JUMP_SLOT   0025d0b8   Nissan_NEW_SendMsg
006392a8  0004ce16 R_ARM_JUMP_SLOT   00449188   PopSubworkflowStack
006392ac  0004cf16 R_ARM_JUMP_SLOT   001cf468   DIAP_Get_Injector_Data
006392b0  0004d016 R_ARM_JUMP_SLOT   00104348   B2k_Status_Add
006392b4  0004d216 R_ARM_JUMP_SLOT   002d06d4   tt_seedkey_cumminus_0x
006392b8  0004d316 R_ARM_JUMP_SLOT   00000000   PH_Pass_Receive_Packag
006392bc  0004d416 R_ARM_JUMP_SLOT   000f2114   B2k_RecvMsgs_Special
006392c0  0004d816 R_ARM_JUMP_SLOT   0011a7e8   MSet_Free_CMDREAD
006392c4  0004d916 R_ARM_JUMP_SLOT   000ed494   B2k_UnPack_Cs
006392c8  0004da16 R_ARM_JUMP_SLOT   0023f9c8   Kwp_bosch_RelatedData_
006392cc  0004db16 R_ARM_JUMP_SLOT   00117e50   Get_SSelectBox
006392d0  0004dd16 R_ARM_JUMP_SLOT   0018a824   Gm_SendMsg
006392d4  0004de16 R_ARM_JUMP_SLOT   003b0828   AddRefByteIntoFFDataRe
006392d8  0004e216 R_ARM_JUMP_SLOT   002bd498   seedkey_008c_jl_kr_n80
006392dc  0004e416 R_ARM_JUMP_SLOT   004d1b4c   BN_add
006392e0  0004e916 R_ARM_JUMP_SLOT   00436cb4   DoEscapeRegionExit
006392e4  0004ea16 R_ARM_JUMP_SLOT   0011faf0   Benz_Check_Cs
006392e8  0004eb16 R_ARM_JUMP_SLOT   00440b64   RefreshHexeditDialog
006392ec  0004ed16 R_ARM_JUMP_SLOT   0041d7e0   DecryptBuff
006392f0  0004ee16 R_ARM_JUMP_SLOT   003b9ad8   GetMessagePackage
006392f4  0004ef16 R_ARM_JUMP_SLOT   00000000   socket
006392f8  0004f016 R_ARM_JUMP_SLOT   002f66a8   Proton_Read_Frame
006392fc  0004f216 R_ARM_JUMP_SLOT   00000000   select
00639300  0004f416 R_ARM_JUMP_SLOT   004b3be4   IsValidUnicodeChar
00639304  0004f516 R_ARM_JUMP_SLOT   0038274c   DoMultHex_Asc
00639308  0004f616 R_ARM_JUMP_SLOT   0014e0ac   Diag_Cmd11
0063930c  0004f716 R_ARM_JUMP_SLOT   00496390   Menu_FilePaht_Ex
00639310  0004f816 R_ARM_JUMP_SLOT   00457ecc   lua_isstring
00639314  0004f916 R_ARM_JUMP_SLOT   0045d80c   luaL_newstate
00639318  0004fb16 R_ARM_JUMP_SLOT   002e2534   seedkey_nacsg_fuso_eec
0063931c  0004fd16 R_ARM_JUMP_SLOT   00000000   readdir
00639320  0004fe16 R_ARM_JUMP_SLOT   003eb2bc   InstanceCircleDecPoint
00639324  00050116 R_ARM_JUMP_SLOT   004cdff8   ERR_peek_error
00639328  00050216 R_ARM_JUMP_SLOT   00250378   Melco_RcvMsg
0063932c  00050316 R_ARM_JUMP_SLOT   003e915c   InstanceLableElementVa
00639330  00050616 R_ARM_JUMP_SLOT   0045818c   lua_compare
00639334  00050a16 R_ARM_JUMP_SLOT   0048af48   ezxml_ent_ok
00639338  00050b16 R_ARM_JUMP_SLOT   002d6438   sub_1004E5B0
0063933c  00050c16 R_ARM_JUMP_SLOT   001221d4   Benz_SendExist
00639340  00050e16 R_ARM_JUMP_SLOT   004f3680   ENGINE_get_digest_engi
00639344  00050f16 R_ARM_JUMP_SLOT   002e77bc   sub_7E98F530
00639348  00051116 R_ARM_JUMP_SLOT   004a07a0   PDU_KeyWord_MSG_TYPE
0063934c  00051216 R_ARM_JUMP_SLOT   004a1804   xmlGetFilter
00639350  00051316 R_ARM_JUMP_SLOT   00457cc0   lua_pushvalue
00639354  00051516 R_ARM_JUMP_SLOT   0029cb74   gain3
00639358  00051616 R_ARM_JUMP_SLOT   0013ea04   Cummins_UnPack_Cs
0063935c  00051716 R_ARM_JUMP_SLOT   002eb7c8   seedkey_racf_20210831
00639360  00051816 R_ARM_JUMP_SLOT   004b1cd4   GetTextFromGuiLibText
00639364  00051916 R_ARM_JUMP_SLOT   004f3724   ENGINE_register_digest
00639368  00051a16 R_ARM_JUMP_SLOT   0048a420   ezxml_decode
0063936c  00051b16 R_ARM_JUMP_SLOT   0025cfe0   Nissan_SendMsg
00639370  00051c16 R_ARM_JUMP_SLOT   00459f4c   lua_getctx
00639374  00051d16 R_ARM_JUMP_SLOT   004338a4   CommGet
00639378  00051f16 R_ARM_JUMP_SLOT   00455c30   WFD_RefreshPieChartDia
0063937c  00052216 R_ARM_JUMP_SLOT   000b0d0c   __ROL__
00639380  00052516 R_ARM_JUMP_SLOT   004ad86c   p0x00011E
00639384  00052816 R_ARM_JUMP_SLOT   002d51ac   sub_10001190_A2CU
00639388  00052916 R_ARM_JUMP_SLOT   0011edc8   MSet_Exit
0063938c  00052a16 R_ARM_JUMP_SLOT   0027832c   chanansrccaifenpack
00639390  00052b16 R_ARM_JUMP_SLOT   004d18c0   BN_uadd
00639394  00052c16 R_ARM_JUMP_SLOT   001d1680   HM_link_ECU
00639398  00052d16 R_ARM_JUMP_SLOT   00000000   __aeabi_dcmplt
0063939c  00052e16 R_ARM_JUMP_SLOT   00496190   Menu_FileOpen_KT
006393a0  00052f16 R_ARM_JUMP_SLOT   00397b9c   AddAcItemByName
006393a4  00053216 R_ARM_JUMP_SLOT   002eac20   seedkey_racf_20211115_
006393a8  00053516 R_ARM_JUMP_SLOT   004b2820   FontStrInitBrand
006393ac  00053616 R_ARM_JUMP_SLOT   003900a4   GetAcAvPack
006393b0  00053716 R_ARM_JUMP_SLOT   004df3bc   lh_retrieve
006393b4  00053816 R_ARM_JUMP_SLOT   00438ad8   InstanceEditValueByStr
006393b8  00053916 R_ARM_JUMP_SLOT   003c8004   AddEleIntoArrayByExpre
006393bc  00053a16 R_ARM_JUMP_SLOT   000b79e8   GetKey_2018_01_29_14_3
006393c0  00053b16 R_ARM_JUMP_SLOT   004b3880   GetFileTypeEx
006393c4  00053d16 R_ARM_JUMP_SLOT   000bd848   ROE350_seed2key
006393c8  00054216 R_ARM_JUMP_SLOT   0038d21c   DoOneServiceViewList
006393cc  00054316 R_ARM_JUMP_SLOT   0029e014   sub_YC_VMS
006393d0  00054516 R_ARM_JUMP_SLOT   004a8d58   Decrypt_bank
006393d4  00054616 R_ARM_JUMP_SLOT   00397c48   LoadAvailableAC
006393d8  00054716 R_ARM_JUMP_SLOT   00390b74   RefreshAvPoolResbuf
006393dc  00054816 R_ARM_JUMP_SLOT   0039afa4   VCI_UpdateComParam
006393e0  00054916 R_ARM_JUMP_SLOT   004d153c   CRYPTO_dup_ex_data
006393e4  00054b16 R_ARM_JUMP_SLOT   00000000   fflush
006393e8  00054c16 R_ARM_JUMP_SLOT   002ce86c   DecryptForEcudata_1
006393ec  00054d16 R_ARM_JUMP_SLOT   0017b930   xml_GetSYSTEM_Total
006393f0  00054e16 R_ARM_JUMP_SLOT   00464e0c   lua_getinfo
006393f4  00054f16 R_ARM_JUMP_SLOT   00207904   do_crc8
006393f8  00055016 R_ARM_JUMP_SLOT   00144388   Cummins_Status_kxmlGet
006393fc  00055116 R_ARM_JUMP_SLOT   0012a1c4   BMW_RcvMsgs
00639400  00055416 R_ARM_JUMP_SLOT   003abfbc   SD_Msg_Parse_8401
00639404  00055516 R_ARM_JUMP_SLOT   003bf42c   IsDTChandlfunction
00639408  00055716 R_ARM_JUMP_SLOT   00114d40   KeyExpansion
0063940c  00055916 R_ARM_JUMP_SLOT   0024a44c   Kwp_Freeze_Spy_Data_Pr
00639410  00055a16 R_ARM_JUMP_SLOT   003b6b74   GetSystemkeyByID
00639414  00055c16 R_ARM_JUMP_SLOT   0021c608   Kwp_Communication
00639418  00055e16 R_ARM_JUMP_SLOT   004d9574   RSA_padding_check_none
0063941c  00056016 R_ARM_JUMP_SLOT   002ff6b4   CITR_Read_Act
00639420  00056216 R_ARM_JUMP_SLOT   00458aa4   lua_pushnil
00639424  00056416 R_ARM_JUMP_SLOT   00302944   Kwp2k_Spy_Stream
00639428  00056516 R_ARM_JUMP_SLOT   004d9a54   RSA_padding_add_PKCS1_
0063942c  00056616 R_ARM_JUMP_SLOT   00216920   Kwp_Read_FreezeData
00639430  00056916 R_ARM_JUMP_SLOT   0049ab64   use_strcpy_Ex
00639434  00056b16 R_ARM_JUMP_SLOT   0044e89c   CreateInfoDialogNode
00639438  00056c16 R_ARM_JUMP_SLOT   004de47c   BIO_vprintf
0063943c  00056d16 R_ARM_JUMP_SLOT   00000000   __aeabi_ddiv
00639440  00056f16 R_ARM_JUMP_SLOT   0012fabc   BMW_Read_DTC_EWS2Type
00639444  00057016 R_ARM_JUMP_SLOT   004e5650   SHA256_Final
00639448  00057116 R_ARM_JUMP_SLOT   00399c30   DoaResponseActuatorSte
0063944c  00057216 R_ARM_JUMP_SLOT   000b3ba4   tt_seed2key_v2
00639450  00057416 R_ARM_JUMP_SLOT   0029de58   seedkey_nwsd
00639454  00057516 R_ARM_JUMP_SLOT   0044beac   SetInfobox
00639458  00057716 R_ARM_JUMP_SLOT   004effc0   BN_mod_exp
0063945c  00057b16 R_ARM_JUMP_SLOT   0019f9c0   HonDaN_Read_Data_Kwp
00639460  00057c16 R_ARM_JUMP_SLOT   0013056c   BMW_Clear_DTC_Counted
00639464  00057d16 R_ARM_JUMP_SLOT   0039af3c   VCI_Exit
00639468  00057e16 R_ARM_JUMP_SLOT   000bb240   sub_2016_03_28_17_05
0063946c  00058116 R_ARM_JUMP_SLOT   001098a4   B2k_Read_Dtc_Sub
00639470  00058216 R_ARM_JUMP_SLOT   003ea304   InstanceCodingEditvalu
00639474  00058316 R_ARM_JUMP_SLOT   0017161c   Nest_Spy_Sub
00639478  00058416 R_ARM_JUMP_SLOT   00171bc8   Toyota_Init_Spy
0063947c  00058516 R_ARM_JUMP_SLOT   004debec   lh_doall_arg
00639480  00058616 R_ARM_JUMP_SLOT   004d0760   CRYPTO_set_ex_data
00639484  00058816 R_ARM_JUMP_SLOT   002e292c   seedkey_foton_fast_amt
00639488  00058916 R_ARM_JUMP_SLOT   00000000   PH_SetCommMode
0063948c  00058b16 R_ARM_JUMP_SLOT   003bbc04   InterSystem
00639490  00058c16 R_ARM_JUMP_SLOT   0038b524   luaFread
00639494  00058d16 R_ARM_JUMP_SLOT   00459150   lua_getglobal
00639498  00058e16 R_ARM_JUMP_SLOT   0048c884   ezxml_parse_str
0063949c  00059316 R_ARM_JUMP_SLOT   00291cdc   Encode
006394a0  00059416 R_ARM_JUMP_SLOT   000faafc   B2k_Spy_Datastream
006394a4  00059516 R_ARM_JUMP_SLOT   004a0e18   xmlGetParams
006394a8  00059616 R_ARM_JUMP_SLOT   004b571c   CAPP_Open
006394ac  00059716 R_ARM_JUMP_SLOT   0039aeb0   VCI_Set_Init
006394b0  00059b16 R_ARM_JUMP_SLOT   00385e18   user_strnicmp
006394b4  00059c16 R_ARM_JUMP_SLOT   004fa7b8   ASN1_STRING_dup
006394b8  00059d16 R_ARM_JUMP_SLOT   0045b8cc   luaL_error
006394bc  00059e16 R_ARM_JUMP_SLOT   0017a4c4   xml_ChangeCurDb
006394c0  0005a016 R_ARM_JUMP_SLOT   000fa630   B2k_Calculate
006394c4  0005a416 R_ARM_JUMP_SLOT   002d21bc   seedkey_racfa_changche
006394c8  0005a716 R_ARM_JUMP_SLOT   00449bd8   WFD_Dealwith_Node_Stor
006394cc  0005a816 R_ARM_JUMP_SLOT   0013dda4   sub_100D6380
006394d0  0005a916 R_ARM_JUMP_SLOT   004faea0   c2i_ASN1_BIT_STRING
006394d4  0005ac16 R_ARM_JUMP_SLOT   00193868   Gm_Test_1C
006394d8  0005ae16 R_ARM_JUMP_SLOT   0049d700   SendRecData
006394dc  0005b116 R_ARM_JUMP_SLOT   002baad4   seedkey_man_34
006394e0  0005b316 R_ARM_JUMP_SLOT   002d0bc0   seedkey_008c_5e
006394e4  0005b416 R_ARM_JUMP_SLOT   00000000   __aeabi_dmul
006394e8  0005b516 R_ARM_JUMP_SLOT   004988c4   RbKeyHistorySave
006394ec  0005b816 R_ARM_JUMP_SLOT   004e129c   OBJ_obj2txt
006394f0  0005b916 R_ARM_JUMP_SLOT   0044c88c   SetNokey
006394f4  0005ba16 R_ARM_JUMP_SLOT   000b33f0   sub_10005170
006394f8  0005bb16 R_ARM_JUMP_SLOT   003593a4   GetResult
006394fc  0005bc16 R_ARM_JUMP_SLOT   00459e5c   lua_setuservalue
00639500  0005bd16 R_ARM_JUMP_SLOT   002f016c   seedkey_nacsg_20211124
00639504  0005c016 R_ARM_JUMP_SLOT   00153b88   Toyotak_RcvMsgS
00639508  0005c216 R_ARM_JUMP_SLOT   0008358c   DoReadVinSub
0063950c  0005c516 R_ARM_JUMP_SLOT   003bd92c   LoadTroublecodes_EX
00639510  0005c716 R_ARM_JUMP_SLOT   0017da78   xml_GetAllFault
00639514  0005c816 R_ARM_JUMP_SLOT   00087c9c   Dstrdup
00639518  0005ca16 R_ARM_JUMP_SLOT   002bb3cc   sub_100012A0
0063951c  0005cb16 R_ARM_JUMP_SLOT   004e3db0   SHA1_Update
00639520  0005cf16 R_ARM_JUMP_SLOT   003c4a94   ClearDTC
00639524  0005d016 R_ARM_JUMP_SLOT   004cf900   CRYPTO_lock
00639528  0005d116 R_ARM_JUMP_SLOT   001afa7c   CompareSameValue
0063952c  0005d316 R_ARM_JUMP_SLOT   0037716c   DoMultoDisp
00639530  0005d416 R_ARM_JUMP_SLOT   002e4c48   pro_dfcv_qj_bcmii_meth
00639534  0005d516 R_ARM_JUMP_SLOT   0014c5e0   getOBDIIpinsBpsAndVol
00639538  0005d716 R_ARM_JUMP_SLOT   004b3740   GetObjectByFileType
0063953c  0005d816 R_ARM_JUMP_SLOT   00417d34   TraXon_AESSetKey
00639540  0005d916 R_ARM_JUMP_SLOT   001c58e4   ShangChai_MulCyl_ShutO
00639544  0005da16 R_ARM_JUMP_SLOT   000846e0   EcuFlashSendStatusToGu
00639548  0005db16 R_ARM_JUMP_SLOT   002bbcc4   sub_100014C0
0063954c  0005dc16 R_ARM_JUMP_SLOT   00457908   lua_settop
00639550  0005dd16 R_ARM_JUMP_SLOT   002964d8   GenerateKEY
00639554  0005de16 R_ARM_JUMP_SLOT   004de7b0   sk_pop_free
00639558  0005df16 R_ARM_JUMP_SLOT   0041b7c8   Flash_Communication
0063955c  0005e016 R_ARM_JUMP_SLOT   0044e2b4   WFD_RevMsg_Ex
00639560  0005e316 R_ARM_JUMP_SLOT   001b9280   InitPosOfBuffer
00639564  0005e416 R_ARM_JUMP_SLOT   002f14c4   seedkey_drof_20220111
00639568  0005e516 R_ARM_JUMP_SLOT   004de69c   sk_pop
0063956c  0005e616 R_ARM_JUMP_SLOT   00000000   strncasecmp
00639570  0005e916 R_ARM_JUMP_SLOT   004a59a8   IOConvertTP20
00639574  0005ea16 R_ARM_JUMP_SLOT   004b1d28   CloseEx
00639578  0005eb16 R_ARM_JUMP_SLOT   003ad518   SD_Msg_Parse_1401
0063957c  0005ec16 R_ARM_JUMP_SLOT   003b9d48   FindJobNode
00639580  0005ed16 R_ARM_JUMP_SLOT   0023fad4   Delphi_Read_FreezeData
00639584  0005ee16 R_ARM_JUMP_SLOT   003e6e40   InstanceAVName
00639588  0005ef16 R_ARM_JUMP_SLOT   004d255c   bn_sub_part_words
0063958c  0005f016 R_ARM_JUMP_SLOT   0043ef08   StrToIntExt
00639590  0005f116 R_ARM_JUMP_SLOT   004f006c   BN_mod_lshift_quick
00639594  0005f216 R_ARM_JUMP_SLOT   0041da44   DecryptVBF_FlashFile
00639598  0005f316 R_ARM_JUMP_SLOT   000bec00   YCCNG_seed2key
0063959c  0005f516 R_ARM_JUMP_SLOT   0049b320   PDU_DataPaket
006395a0  0005f816 R_ARM_JUMP_SLOT   0039c94c   ConstantRelease
006395a4  0005f916 R_ARM_JUMP_SLOT   003de4bc   InputFlashCheckSum
006395a8  0005fa16 R_ARM_JUMP_SLOT   0039f3cc   IsSubstituteVariantExi
006395ac  0005fb16 R_ARM_JUMP_SLOT   004d9c9c   RSA_padding_check_X931
006395b0  0005fd16 R_ARM_JUMP_SLOT   003a5b7c   LuaApp_SetReceToLua
006395b4  0005ff16 R_ARM_JUMP_SLOT   004902a8   FirstPc3winSet
006395b8  00060016 R_ARM_JUMP_SLOT   002efe28   sub_91194
006395bc  00060116 R_ARM_JUMP_SLOT   00458ecc   lua_pushcclosure
006395c0  00060316 R_ARM_JUMP_SLOT   00000000   dlclose
006395c4  00060516 R_ARM_JUMP_SLOT   00365570   BOSCH_RunUp
006395c8  00060616 R_ARM_JUMP_SLOT   003ac4f8   ParseavgroupList_8500
006395cc  00060816 R_ARM_JUMP_SLOT   004cfa9c   CRYPTO_thread_id
006395d0  00060916 R_ARM_JUMP_SLOT   0044edc0   CreateAv6DialogNode
006395d4  00060a16 R_ARM_JUMP_SLOT   004e0494   EVP_MD_CTX_cleanup
006395d8  00060b16 R_ARM_JUMP_SLOT   004cca3c   RSA_public_decrypt
006395dc  00060c16 R_ARM_JUMP_SLOT   00457c78   lua_copy
006395e0  00060d16 R_ARM_JUMP_SLOT   004528a0   WFD_ShowActuatorDialog
006395e4  00060f16 R_ARM_JUMP_SLOT   003962b8   CheckAvPrecondition
006395e8  00061016 R_ARM_JUMP_SLOT   001a56b0   Honda_Parse_Action
006395ec  00061116 R_ARM_JUMP_SLOT   004cb964   InitCryptSystem
006395f0  00061316 R_ARM_JUMP_SLOT   000b7700   GetKey_DAF_4Seed4Key_N
006395f4  00061516 R_ARM_JUMP_SLOT   003221d0   M3Encrypt
006395f8  00061616 R_ARM_JUMP_SLOT   004b1828   check_langType
006395fc  00061716 R_ARM_JUMP_SLOT   002cd388   qr_calc
00639600  00061916 R_ARM_JUMP_SLOT   000b7530   GetKey_2018_01_26_17_3
00639604  00061a16 R_ARM_JUMP_SLOT   0038db14   FindAvNodeByName
00639608  00061c16 R_ARM_JUMP_SLOT   004d9e00   RSA_padding_add_X931
0063960c  00061d16 R_ARM_JUMP_SLOT   00490964   readfilelist
00639610  00061e16 R_ARM_JUMP_SLOT   001f40f4   Test_xml_GetProtocol
00639614  00061f16 R_ARM_JUMP_SLOT   00000000   abort
00639618  00062116 R_ARM_JUMP_SLOT   003eadec   InstanceCircleMax
0063961c  00062216 R_ARM_JUMP_SLOT   003d8820   UpdateECUFlasStatus
00639620  00062416 R_ARM_JUMP_SLOT   004e3bec   SHA1_Final
00639624  00062516 R_ARM_JUMP_SLOT   002937d0   MD5Final
00639628  00062616 R_ARM_JUMP_SLOT   0045d040   luaL_getmetafield
0063962c  00062716 R_ARM_JUMP_SLOT   0048db24   ezxml_ampencode
00639630  00062816 R_ARM_JUMP_SLOT   00456900   WFD_RefreshBargraphDia
00639634  00062916 R_ARM_JUMP_SLOT   00242f7c   Kwp_ScanInitIO
00639638  00062a16 R_ARM_JUMP_SLOT   004d509c   bn_mul_add_words
0063963c  00062d16 R_ARM_JUMP_SLOT   000b59a4   SeedToKey_Econtrol_4G
00639640  00062e16 R_ARM_JUMP_SLOT   00445530   ShowInfoDialogByNode
00639644  00062f16 R_ARM_JUMP_SLOT   0048f500   ezxml_add_child
00639648  00063016 R_ARM_JUMP_SLOT   003bf894   InstanceParseDTCHandli
0063964c  00063116 R_ARM_JUMP_SLOT   002d7fd4   sub_10002A60
00639650  00063316 R_ARM_JUMP_SLOT   00086730   KXmlOpenOnce
00639654  00063416 R_ARM_JUMP_SLOT   003e4610   CHJ_ECU_Flash_Flow3
00639658  00063516 R_ARM_JUMP_SLOT   004cc5a8   BN_set_word
0063965c  00063616 R_ARM_JUMP_SLOT   004c85dc   libiconv_open
00639660  00063716 R_ARM_JUMP_SLOT   0044fa58   WFD_ShowAv8Dialog
00639664  00063816 R_ARM_JUMP_SLOT   000af27c   tt_seed2key_core2
00639668  00063916 R_ARM_JUMP_SLOT   003ca390   Instance_Av8Dialog
0063966c  00063c16 R_ARM_JUMP_SLOT   004577f0   lua_version
